misty	"groove" holmes	7/16/66 Prestige	
release me	"little esther" phillips	Lenox	5555
who's the fool	"singin" sammy ward	Tamla	54030
do da what	1 of the girls	EastWest	98419
90 day freeze (on her love)	100 proof aged in soul	Hot Wax	7108
driveway	100 proof aged in soul	Hot Wax	7104
everything good is bad	100 proof aged in soul	hot wax	7202
ninety day freeze	100 proof aged in soul	hot wax	7108
one man's leftovers	100 proof aged in soul	hot wax	7009
one man's leftovers (is another man's feast)	100 proof aged in soul	Hot Wax	7009
somebody's been sleeping	100 proof aged in soul	hot wax	7004
too many cooks (spoil the soup)	100 proof aged in soul	Hot Wax	6904
because the night	10000 maniacs	elektra	64595
candy everybody wants	10000 maniacs	elektra	64665
like the weather	10000 maniacs	elektra	69418
these are days	10000 maniacs	elektra	64700
trouble me	10000 maniacs	elektra	69298
art for art's sake	10cc	mercury	73725
dreadlock holiday	10cc	polydor	14511
for you and i	10cc	polydor	14528
good morning judge	10cc	mercury	73943
i'm mandy fly me	10cc	mercury	73779
i'm not in love	10cc	mercury	73678
people in love	10cc	mercury	73917
rubber bullets	10cc	uk	49015
the things we do for love	10cc	mercury	73875
the wall street shuffle	10cc	uk	49023
i burn for you	10db	Crush Music	706
i second that emotion	10db	Crush Music	601
1 2 3 red light	1910 fruitgum company	buddah	54
goody goody gumdrops	1910 fruitgum company	buddah	71
indian giver	1910 fruitgum company	buddah	91
may i take a giant step	1910 fruitgum company	buddah	39
simon says	1910 fruitgum company	buddah	24
special delivery	1910 fruitgum company	buddah	114
the train	1910 fruitgum company	buddah	130
when we get married	1910 fruitgum company	buddah	146
wiggle it	2 in a room	charisma	98887
me so horny	2 live crew	skyywalker	130
this is ponderous	2 nu	atlantic	87771
walk tall	2 of clubs	fraternity	975
i get around	2 pac	interscope	98372
keep ya head up	2 pac	interscope	98345
get ready for this	2 unlimited	radikal	15490
twilight zone	2 unlimited	radikal	15486
if you want it	2nd ii none	Profile	5361
brenda's got a baby	2pac	Interscope	96212
dear mama	2pac	Interscope	98273
i get around	2pac	Interscope	96036
keep ya head up	2pac	Interscope	98345
dedicated (to the songs i love)	3 friends	imperial	5763
jack the lad	3 man island	chrysalis	43231
back to paradise	38 special	a&m	2955
back where you belong	38 special	a&m	2615
caught up in you	38 special	a&m	2412
comin’ down tonight	38 special	a&m	1424
fantasy girl	38 special	a&m	2330
hold on loosely	38 special	a&m	2316
if i’d been the one	38 special	a&m	2594
like no other night	38 special	a&m	2831
rock & roll strategy	38 special	a&m	1246
rockin’ into the night	38 special	a&m	2205
second chance	38 special	a&m	1273
somebody like you	38 special	a&m	2854
teacher teacher	38 special	capitol	5405
the sound of your voice	38 special	charisma	98773
you keep runnin’ away	38 special	a&m	2431
pop goes the weasel	3rd bass	Def Jam	73728
the gas face	3rd bass	Def Jam	73046
come over	4 by four	Capitol	44034
want you for my girlfriend	4 by four	capitol	5690
what's up	4 non blondes	interscope	98430
drag my bad name down	4 of us	columbia	73243
don't you love me	49er's	4th & b'way	447506
shadows	5 satins	Ember	1056
you're something special	5 special	Elektra	46531
something's missing	5 stairsteps and cubie	Buddah	20
i'm on fire	5000 volts	philips	40801
tell me (how it feels)	52nd street	MCA	52805
kitty kitty	69 boyz	Rip-It	6921
tootsee roll	69 boyz	Down Low	6911
i could be good for you	707	casablanca	2280
mega force	707	boardwalk	146
so high	7669	Motown	2217
do it with your body	7th wonder	Parachute	527
i enjoy ya	7th wonder	Chocolate City	3207
my love ain't never been this strong	7th wonder	Parachute	519
the tilt	7th wonder	Chocolate City	3212
if i could see the light	8th day	invictus	9107
she's not just another woman	8th day	invictus	9087
you've got to crawl (before you walk)	8th day	invictus	9098
all of me for all of you	9.9	rca	14082
i like the way you dance	9.9	RCA	14203
whoot there it is	95 south	wrap	0150
let's dance	9th creation	Hilltak	7901
96 tears	? & the mysterians	cameo	428
can't get enough of you baby	? & the mysterians	cameo	467
girl (you captivate me)	? & the mysterians	cameo	479
i need somebody	? & the mysterians	cameo	441
boogie oogie oogie	a taste of honey	Capitol	4565
do it good	a taste of honey	Capitol	4744
i'll try something new	a taste of honey	Capitol	5099
rescue me	a taste of honey	Capitol	4888
sukiyaki	a taste of honey	Capitol	4953
award tour	a tribe called quest	Jive	42187
scenario	a tribe called quest	Jive	42065
follow my heartbeat	a'me lorain	rca	2620
whole wide world	a'me lorain	rca	9098
cry wolf	a-ha	Warner Brothers	28500
take on me	a-ha	Warner Brothers	29011
the sun always shines on t.v.	a-ha	Warner Brothers	28846
age ain't nothing but a number	aaliyah	Blackground/Jive	42273
at your best (you are love)	aaliyah	Blackground/Jive	42239
back & forth	aaliyah	Blackground/Jive	42174
cream city	aalon	Arista	0249
get a little freaky with me	aaron hall	Silas/MCA	54229
i miss you	aaron hall	Silas/MCA	54847
let's make love	aaron hall	Silas/MCA	54783
when you need me	aaron hall	Silas/MCA	54902
all my life	aaron neville	elektra	64987
don't know much	aaron neville	elektra	69261
don't take away my heaven	aaron neville	a&m	0240
everybody plays the fool	aaron neville	a&m	1563
over you	aaron neville	Minit	612
she took you for a ride	aaron neville	parlo	103
somewhere somebody	aaron neville	a&m	1557
tell it like it is	aaron neville	parlo	101
when something is wrong with my baby	aaron neville	elektra	64968
the hitman	ab logic	Interscope	98506
life and death in g & a	abaco dream	A&M	1081
chiquitita	abba	Atlantic	3629
dancing queen	abba	Atlantic	3372
does your mother know	abba	Atlantic	3574
fernando	abba	Atlantic	3346
honey, honey	abba	Atlantic	3209
i do, i do, i do, i do, i do	abba	Atlantic	3310
knowing me, knowing you	abba	Atlantic	3387
mamma mia	abba	Atlantic	3315
money, money, money	abba	Atlantic	3434
sos	abba	Atlantic	3265
super trouper	abba	Atlantic	3806
take a chance on me	abba	Atlantic	3457
the name of the game	abba	Atlantic	3449
the visitors	abba	Atlantic	4031
the winner takes it all	abba	Atlantic	3776
voulez-vous/angel eyes	abba	Atlantic	3609
waterloo	abba	Atlantic	3035
when all is said and done	abba	Atlantic	3889
off to dublin in the green	abbey tavern singers	HBR	498
(how to be a) millionaire	abc	Mercury	884382
