2000-01-01	1	NEW	1	tha g-code	juvenile	
2000-01-01	2	1	3	born again	the notorious b.i.g.	
2000-01-01	3	2	5	dr. dre -- 2001	dr. dre	
2000-01-01	4	6	5	faith: a holiday album	kenny g	
2000-01-01	5	4	3	unleash the dragon	sisqo	
2000-01-01	6	NEW	1	next friday	soundtrack	
2000-01-01	7	9	7	rainbow	mariah carey	
2000-01-01	8	5	5	nastradamus	nas	
2000-01-01	9	3	2	the tunnel	funkmaster flex & big kap	
2000-01-01	10	13	5	willennium	will smith	
2000-01-01	11	11	13	back at one	brian mcknight	
2000-01-01	12	7	7	tha block is hot	lil wayne	
2000-01-01	13	10	18	mary	mary j. blige	
2000-01-01	14	17	21	the writing's on the wall	destiny's child	
2000-01-01	15	12	59	400 degreez	juvenile	
2000-01-01	16	15	10	the best man	soundtrack	
2000-01-01	17	14	12	black diamond	angie stone	
2000-01-01	18	8	3	amplified	q-tip	
2000-01-01	19	18	14	let there be... eve--ruff ryders' first lady	eve	
2000-01-01	20	16	6	get it on...tonite	montell jordan	
2000-01-01	21	26	5	chant down babylon	bob marley	
2000-01-01	22	19	10	where i wanna be	donell jones	
2000-01-01	23	20	13	blackout!	method man & redman	
2000-01-01	24	27	4	beastie boys anthology: the sounds of science	beastie boys	
2000-01-01	25	29	6	rave un2 the joy fantastic	prince	
2000-01-01	26	35	29	on the 6	jennifer lopez	
2000-01-01	27	30	40	100% ginuwine	ginuwine	
2000-01-01	28	38	60	98 degrees and rising	98 degrees	
2000-01-01	29	37	57	my love is your love	whitney houston	Arista
2000-01-01	30	22	5	life's aquarium	mint condition	
2000-01-01	31	36	18	forever	puff daddy	
2000-01-01	32	21	6	immobilarity	chef raekwon	
2000-01-01	33	24	8	only god can judge me	master p	
2000-01-01	34	25	5	tha streetz iz a mutha	kurupt	
2000-01-01	35	45	29	blaque	blaque	
2000-01-01	36	28	6	charlie hustle: blueprint of a self-made millionaire	e-40	
2000-01-01	37	40	8	24/7	kevon edmonds	
2000-01-01	38	31	6	light it up	soundtrack	
2000-01-01	39	39	3	the source presents hip-hop hits -- volume 3	various artists	
2000-01-01	40	32	8	the game	chico debarge	
2000-01-01	41	49	43	fanmail	tlc	
2000-01-01	42	34	10	black on both sides	mos def	
2000-01-01	43	41	35	chopper city in the ghetto	b.g.	
2000-01-01	44	50	43	the slim shady lp	eminem	
2000-01-01	45	43	21	guerrilla warfare	hot boys	
2000-01-01	46	23	3	the master	rakim	
2000-01-01	47	33	13	ideal	ideal	
2000-01-01	48	44	26	da real world	missy "misdemeanor" elliott	
2000-01-01	49	47	14	n***a please	ol' dirty bastard	
2000-01-01	50	59	21	on how life is	macy gray	
2000-01-08	1	75	2	...and then there was x	dmx	
2000-01-08	2	NEW	1	still i rise	2pac + outlawz	
2000-01-08	3	1	2	tha g-code	juvenile	
2000-01-08	4	2	4	born again	the notorious b.i.g.	
2000-01-08	5	3	6	dr. dre -- 2001	dr. dre	
2000-01-08	6	5	4	unleash the dragon	sisqo	
2000-01-08	7	4	6	faith: a holiday album	kenny g	
2000-01-08	8	NEW	1	world party	goodie mob	
2000-01-08	9	7	8	rainbow	mariah carey	
2000-01-08	10	14	22	the writing's on the wall	destiny's child	
2000-01-08	11	11	14	back at one	brian mcknight	
2000-01-08	12	10	6	willennium	will smith	
2000-01-08	13	12	8	tha block is hot	lil wayne	
2000-01-08	14	13	19	mary	mary j. blige	
2000-01-08	15	8	6	nastradamus	nas	
2000-01-08	16	19	15	let there be... eve--ruff ryders' first lady	eve	
2000-01-08	17	15	60	400 degreez	juvenile	
2000-01-08	18	16	11	the best man	soundtrack	
2000-01-08	19	6	2	next friday	soundtrack	
2000-01-08	20	17	13	black diamond	angie stone	
2000-01-08	21	9	3	the tunnel	funkmaster flex & big kap	
2000-01-08	22	18	4	amplified	q-tip	
2000-01-08	23	20	7	get it on...tonite	montell jordan	
2000-01-08	24	21	6	chant down babylon	bob marley	
2000-01-08	25	27	41	100% ginuwine	ginuwine	
2000-01-08	26	22	11	where i wanna be	donell jones	
2000-01-08	27	25	7	rave un2 the joy fantastic	prince	
2000-01-08	28	23	14	blackout!	method man & redman	
2000-01-08	29	26	30	on the 6	jennifer lopez	
2000-01-08	30	24	5	beastie boys anthology: the sounds of science	beastie boys	
2000-01-08	31	28	61	98 degrees and rising	98 degrees	
2000-01-08	32	29	58	my love is your love	whitney houston	Arista
2000-01-08	33	31	19	forever	puff daddy	
2000-01-08	34	35	30	blaque	blaque	
2000-01-08	35	30	6	life's aquarium	mint condition	
2000-01-08	36	34	6	tha streetz iz a mutha	kurupt	
2000-01-08	37	41	44	fanmail	tlc	
2000-01-08	38	37	9	24/7	kevon edmonds	
2000-01-08	39	45	22	guerrilla warfare	hot boys	
2000-01-08	40	40	9	the game	chico debarge	
2000-01-08	41	33	9	only god can judge me	master p	
2000-01-08	42	48	27	da real world	missy "misdemeanor" elliott	
2000-01-08	43	44	44	the slim shady lp	eminem	
2000-01-08	44	32	7	immobilarity	chef raekwon	
2000-01-08	45	39	4	the source presents hip-hop hits -- volume 3	various artists	
2000-01-08	46	54	3	kaleidoscope	kelis	
2000-01-08	47	43	36	chopper city in the ghetto	b.g.	
2000-01-08	48	47	14	ideal	ideal	
2000-01-08	49	42	11	black on both sides	mos def	
2000-01-08	50	38	7	light it up	soundtrack	
2000-01-15	1	NEW	1	vol. 3... life and times of s. carter	jay-z	
2000-01-15	2	1	3	...and then there was x	dmx	
2000-01-15	3	2	2	still i rise	2pac + outlawz	
2000-01-15	4	5	7	dr. dre -- 2001	dr. dre	
2000-01-15	5	3	3	tha g-code	juvenile	
2000-01-15	6	4	5	born again	the notorious b.i.g.	
2000-01-15	7	6	5	unleash the dragon	sisqo	
2000-01-15	8	8	2	world party	goodie mob	
2000-01-15	9	9	9	rainbow	mariah carey	
2000-01-15	10	13	9	tha block is hot	lil wayne	
2000-01-15	11	10	23	the writing's on the wall	destiny's child	
2000-01-15	12	19	3	next friday	soundtrack	
2000-01-15	13	17	61	400 degreez	juvenile	
2000-01-15	14	14	20	mary	mary j. blige	
2000-01-15	15	15	7	nastradamus	nas	
2000-01-15	16	11	15	back at one	brian mcknight	
2000-01-15	17	20	14	black diamond	angie stone	
2000-01-15	18	16	16	let there be... eve--ruff ryders' first lady	eve	
2000-01-15	19	21	4	the tunnel	funkmaster flex & big kap	
2000-01-15	20	12	7	willennium	will smith	
2000-01-15	21	18	12	the best man	soundtrack	
2000-01-15	22	22	5	amplified	q-tip	
2000-01-15	23	23	8	get it on...tonite	montell jordan	
2000-01-15	24	26	12	where i wanna be	donell jones	
2000-01-15	25	28	15	blackout!	method man & redman	
2000-01-15	26	24	7	chant down babylon	bob marley	
2000-01-15	27	25	42	100% ginuwine	ginuwine	
2000-01-15	28	7	7	faith: a holiday album	kenny g	
2000-01-15	29	45	5	the source presents hip-hop hits -- volume 3	various artists	
2000-01-15	30	35	7	life's aquarium	mint condition	
2000-01-15	31	40	10	the game	chico debarge	
2000-01-15	32	43	45	the slim shady lp	eminem	
2000-01-15	33	30	6	beastie boys anthology: the sounds of science	beastie boys	
2000-01-15	34	36	7	tha streetz iz a mutha	kurupt	
2000-01-15	35	34	31	blaque	blaque	
2000-01-15	36	33	20	forever	puff daddy	
2000-01-15	37	39	23	guerrilla warfare	hot boys	
2000-01-15	38	27	8	rave un2 the joy fantastic	prince	
2000-01-15	39	42	28	da real world	missy "misdemeanor" elliott	
2000-01-15	40	29	31	on the 6	jennifer lopez	
2000-01-15	41	38	10	24/7	kevon edmonds	
2000-01-15	42	44	8	immobilarity	chef raekwon	
2000-01-15	43	41	10	only god can judge me	master p	
2000-01-15	44	32	59	my love is your love	whitney houston	Arista
2000-01-15	45	47	37	chopper city in the ghetto	b.g.	
2000-01-15	46	50	8	light it up	soundtrack	
2000-01-15	47	49	12	black on both sides	mos def	
2000-01-15	48	48	15	ideal	ideal	
2000-01-15	49	51	8	charlie hustle: blueprint of a self-made millionaire	e-40	
2000-01-15	50	46	4	kaleidoscope	kelis	
2000-01-22	1	1	2	vol. 3... life and times of s. carter	jay-z	
2000-01-22	2	2	4	...and then there was x	dmx	
2000-01-22	3	3	3	still i rise	2pac + outlawz	
2000-01-22	4	4	8	dr. dre -- 2001	dr. dre	
2000-01-22	5	7	6	unleash the dragon	sisqo	
2000-01-22	6	5	4	tha g-code	juvenile	
2000-01-22	7	6	6	born again	the notorious b.i.g.	
2000-01-22	8	12	4	next friday	soundtrack	
2000-01-22	9	17	15	black diamond	angie stone	
2000-01-22	10	11	24	the writing's on the wall	destiny's child	
2000-01-22	11	NEW	1	any given sunday	soundtrack	
2000-01-22	12	14	21	mary	mary j. blige	
2000-01-22	13	8	3	world party	goodie mob	
2000-01-22	14	10	10	tha block is hot	lil wayne	
2000-01-22	15	18	17	let there be... eve--ruff ryders' first lady	eve	
2000-01-22	16	16	16	back at one	brian mcknight	
