1958-10-20	1	NEW	1	rock-in robin	bobby day	Class 229
1958-10-20	2	NEW	1	tears on my pillow	little anthony and the imperials	End 1027
1958-10-20	3	NEW	1	it's all in the game	tommy edwards	MGM 12688
1958-10-20	4	NEW	1	win your love for me	sam cooke	Keen 3-2006
1958-10-20	5	NEW	1	topsy ii	cozy cole	Love 5004
1958-10-20	6	NEW	1	down the aisle of love	the quin-tones	Hunt 321
1958-10-20	7	NEW	1	hold it	bill doggett	King 5149
1958-10-20	8	NEW	1	it don't hurt no more	nappy brown	
1958-10-20	9	NEW	1	ten commandments of love	harvey & the moonglows	Chess 1705
1958-10-20	10	NEW	1	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-10-20	11	NEW	1	little boy blue	bobby "blue" bland	Duke 196
1958-10-20	12	NEW	1	my life	chuck willis	Uptown/MCA 11156
1958-10-20	13	NEW	1	yes i want you	ivory joe hunter	Atlantic 1191
1958-10-20	14	NEW	1	close to you	muddy waters	
1958-10-20	15	NEW	1	chantilly lace	big bopper	Mercury 71343
1958-10-20	16	NEW	1	baby face	little richard	Specialty 645
1958-10-20	17	NEW	1	a lover's question	clyde mcphatter	Atlantic 1199
1958-10-20	18	NEW	1	carol	chuck berry	Chess 1700
1958-10-20	19	NEW	1	summertime blues	eddie cochran	Liberty 55144
1958-10-20	20	NEW	1	itchy twitchy feeling	bobby hendricks	Sue 706
1958-10-20	21	NEW	1	little star	the elegants	Apt 25005
1958-10-20	22	NEW	1	tea for two cha cha	the tommy dorsey orchestra	Decca 30704
1958-10-20	23	NEW	1	key to the highway	little walter	Checker 904
1958-10-20	24	NEW	1	tell it like it is	little willie john	King 5147
1958-10-20	25	NEW	1	it's so fine	lavern baker	Atlantic 2001
1958-10-20	26	NEW	1	susie darlin'	robin luke	Dot 15781
1958-10-20	27	NEW	1	you cheated	the shields	Dot 15805
1958-10-20	28	NEW	1	just a dream	jimmy clanton and his rockets	Ace 546
1958-10-20	29	NEW	1	come back my love	the impressions	Abner 1017
1958-10-20	30	NEW	1	the end	earl grant	Decca 30719
1958-10-27	1	5	2	topsy ii	cozy cole	Love 5004
1958-10-27	2	3	2	it's all in the game	tommy edwards	MGM 12688
1958-10-27	3	2	2	tears on my pillow	little anthony and the imperials	End 1027
1958-10-27	4	4	2	win your love for me	sam cooke	Keen 3-2006
1958-10-27	5	1	2	rock-in robin	bobby day	Class 229
1958-10-27	6	7	2	hold it	bill doggett	King 5149
1958-10-27	7	10	2	i'm gonna get my baby	jimmy reed	Vee-Jay 304
1958-10-27	8	17	2	a lover's question	clyde mcphatter	Atlantic 1199
1958-10-27	9	8	2	it don't hurt no more	nappy brown	
1958-10-27	10	9	2	ten commandments of love	harvey & the moonglows	Chess 1705
1958-10-27	11	14	2	close to you	muddy waters	
1958-10-27	12	18	2	carol	chuck berry	Chess 1700
1958-10-27	13	13	2	yes i want you	ivory joe hunter	Atlantic 1191
1958-10-27	14	11	2	little boy blue	bobby "blue" bland	Duke 196
1958-10-27	15	12	2	my life	chuck willis	Uptown/MCA 11156
1958-10-27	16	16	2	baby face	little richard	Specialty 645
