hello is this thing on	!!!	74	1	2004-08-20
me and giuliani down by the school yard	!!!	84	1	2003-06-13
duelling banjos	'deliverance' soundtrack	17	7	1973-03-30
i want you back	'n sync	62	2	1997-11-21
tearin' up my heart	'n sync	40	2	1997-09-12
fat	'weird al' yankovic	80	4	1988-07-15
smells like nirvana	'weird al' yankovic	58	1	1992-07-03
another night	(mc sar &) the real mccoy	2	19	1994-11-04
love & devotion	(mc sar &) the real mccoy	12	1	1995-04-21
run away	(mc sar &) the real mccoy	6	10	1995-01-27
another night	(mc sar and) the real mccoy	61	1	1993-11-05
eye hate u	(symbol)	20	3	1995-09-22
the beautiful experience	(symbol)	18	5	1994-06-03
the most beautiful girl in the world	(symbol)	1	13	1994-04-08
braided hair	1 giant leap	78	1	2002-08-02
my cultu	1 giant leap	9	6	2002-04-19
you want my sister	1 hour band	76	1	2018-09-07
down on love	1 world	84	2	1990-03-16
run away	10 c.c.	50	4	1982-08-06
the dean and i	10 c.c.	10	8	1973-08-24
wall stet shuffle	10 c.c.	10	10	1974-06-14
time for the volution	10 revolutions	59	2	2003-08-29
whatever	10,000 bc	100	1	2002-08-02
because the night	10,000 maniacs	65	1	1993-10-22
candy everybody wants	10,000 maniacs	47	4	1993-04-09
eat for two	10,000 maniacs	93	1	1989-11-10
mo than this	10,000 maniacs	87	1	1997-10-03
these a days	10,000 maniacs	58	3	1992-09-11
trouble me	10,000 maniacs	77	3	1989-06-09
dogsbody	10,000 things	90	1	2005-04-22
titanium / can't do nothing	10,000 things	84	1	2004-10-29
just can't wait (saturday)	100 percent ft jennifer john	28	7	2004-01-02
it only takes a minute	100 ton and a feather	9	9	1976-06-25
(not the) gatest rapper	1000 clowns	23	4	1999-05-21
food chain	10000 things	97	1	2004-02-27
24 hours	10cc	78	3	1983-04-08
art for arts sake	10cc	5	10	1975-11-28
dadlock holiday	10cc	1	13	1978-08-11
donna	10cc	2	13	1972-09-22
feel the love	10cc	87	3	1983-07-22
good morning judge	10cc	5	12	1977-04-15
i'm mandy fly me	10cc	6	9	1976-03-19
i'm not in love	10cc	1	13	1975-05-30
life is a minestrone	10cc	7	8	1975-04-04
rubber bullets	10cc	1	15	1973-05-18
silly love	10cc	24	7	1974-09-13
things we do for love	10cc	6	12	1976-01-02
i second that emotion	10db	77	2	1989-03-10
strings of life	10th planet	80	2	1995-09-29
peaches & cam	112	32	3	2001-09-07
don't cross the line	12 inch thumpers	92	2	2000-12-01
ooh! aah! cantona	1300 drums feat unjustified..	11	6	1996-05-17
hide and seek	163margs ft digga d	38	3	2023-10-06
the game	16b	87	1	2002-04-05
escape (driving to heaven)	16b ft morel	79	2	2001-11-09
warp	16th element	81	1	2002-04-26
well strung	16th element	93	1	2002-05-24
gase	18 wheeler	94	1	1997-04-25
stay	18 wheeler	59	2	1997-03-14
gunman	187 lockdown	16	13	1997-11-14
kung-fu	187 lockdown	9	5	1998-04-24
the don	187 lockdown	29	2	1998-10-02
all 'n' all	187 lockdown ft d'empress	43	2	1999-02-12
simon says	1910 fruitgum company	2	16	1968-03-22
that's when i think of you	1927	46	7	1989-04-14
about you	1975	41	11	2022-10-28
chocolate	1975	19	35	2013-02-08
frail state of mind	1975	54	1	2019-11-01
girls	1975	45	15	2013-09-13
give yourself a try	1975	22	5	2018-06-08
guys	1975	96	1	2020-05-22
happiness	1975	46	6	2022-08-12
i always wanna die (sometimes)	1975	67	1	2018-12-07
i'm in love with you	1975	29	9	2022-09-09
if you' too shy (let me know)	1975	14	9	2020-05-01
it's not living (if it's not with you)	1975	46	10	2018-10-26
jesus christ 2005 god bless america	1975	88	1	2020-04-10
love it if we made it	1975	33	2	2018-07-27
love me	1975	20	4	2015-10-16
me & you together song	1975	35	3	2020-01-24
medicine	1975	53	2	2014-11-07
nothing vealed / everything denied	1975	82	1	2020-05-29
oh caroline	1975	29	4	2022-10-21
part of the band	1975	57	1	2022-07-15
people	1975	54	1	2019-08-30
settle down	1975	68	2	2014-03-07
sex	1975	34	5	2013-09-06
sincerity is scary	1975	57	3	2018-09-21
somebody else	1975	55	11	2016-02-19
the birthday party	1975	69	1	2020-02-28
the city	1975	30	2	2013-05-31
the sound	1975	15	19	2016-01-22
tonight (i wish i was your boy)	1975	56	1	2020-05-29
tootimetootimetootime	1975	26	9	2018-08-24
ugh	1975	42	1	2015-12-18
you' supposed to be my friend	1990s	86	1	2006-12-01
move move move [the d tribe]	1996 man utd f.a. cup squad	6	15	1996-05-03
lift it high (all about belief)	1999 manchester united squad	11	10	1999-05-28
hey baby (uhh aah)	2 amigos	90	1	2001-09-21
bombsca	2 bad mice	46	2	1996-09-06
hold it down	2 bad mice	71	1	1992-02-14
hold it down {1992 -issue}	2 bad mice	48	3	1992-08-07
after midnight	2 brave	80	3	1989-03-17
stop that girl	2 brave	81	8	1988-01-01
dams (will come alive)	2 brothers on the 4th floor	93	1	1995-07-14
we own it (fast & furious)	2 chainz ft wiz khalifa	6	15	2013-05-24
oh la la la	2 eivissa	13	6	1997-10-03
in a state	2 for joy	61	2	1990-11-30
let the bass kick	2 for joy	67	2	1991-11-08
brothers and sisters	2 funky 2	56	2	1993-11-05
brothers & sisters	2 funky 2 ft kathryn dion	36	2	1996-11-29
go techno	2 house	65	1	1992-03-20
ahora es (now is the time)	2 in a room	43	2	1995-04-07
el trago (the drink)	2 in a room	34	2	1994-10-21
giddy-up	2 in a room	74	1	1996-08-16
she's got me going crazy	2 in a room	54	2	1991-04-05
somebody in the house say yeah!	2 in a room	66	2	1989-11-17
wiggle it	2 in a room	3	8	1991-01-25
boogie woogie bugle boy (don't stop)	2 in a tank	48	2	1995-05-12
when i'm cleaning windows	2 in a tent	65	8	1996-01-05
when i'm cleaning windows (turned out...	2 in a tent	25	6	1994-12-16
yakety yak	2 live crew	90	2	1989-04-14
thinking about your body	2 mad	43	4	1991-02-08
changes	2 pac	3	12	1999-02-19
dear mama	2 pac	27	4	1999-07-02
do for love	2 pac	12	6	1998-06-12
happy home	2 pac	17	2	1998-11-27
i ain't mad at cha	2 pac	13	9	1996-11-29
i wonder if heaven got a ghetto	2 pac	21	4	1998-01-09
until the end of time	2 pac	4	12	2001-06-22
wanted dead or alive	2 pac and snoop doggy dogg	16	3	1997-04-25
how do u want it	2 pac featuring k-ci and jojo	17	4	1996-07-26
california love	2 pac ft dr dre	6	9	1996-04-12
do it properly	2 puerto ricans a blackman and a dominican	78	2	1987-06-19
no way back / do it properly	2 puerto ricans a blackman and a dominican	47	4	1987-06-12
scandalous	2 puerto ricans a blackman and a dominican	87	1	1989-02-10
do what's good for me	2 unlimited	16	7	1995-10-20
faces	2 unlimited	8	7	1993-09-03
get ady for this	2 unlimited	2	15	1991-10-04
he i go	2 unlimited	22	3	1995-03-24
let the beat control your body	2 unlimited	6	10	1994-02-18
magic friend	2 unlimited	11	7	1992-08-14
maximum overdrive	2 unlimited	15	9	1993-01-01
no limit	2 unlimited	1	16	1993-01-29
no one	2 unlimited	17	6	1994-09-30
the al thing	2 unlimited	6	10	1994-05-20
tribal dance	2 unlimited	4	11	1993-05-07
twilight zone	2 unlimited	2	10	1992-01-24
wanna get up	2 unlimited	38	2	1998-07-10
workaholic	2 unlimited	4	7	1992-05-01
lean on me (with the family)	2-4 family	69	2	1999-05-28
short dick man	20 fingers feat gillette	21	4	1994-11-25
short short man	20 fingers feat gillette	11	7	1995-09-29
lick it	20 fingers featuring roula	48	3	1995-09-29
a lot	21 savage	29	11	2018-12-28
bank account	21 savage	41	21	2017-08-04
drum	21 savage	11	11	2024-01-19
runnin	21 savage & metro boomin	43	1	2020-10-09
n.h.i.e.	21 savage/doja cat	27	3	2024-01-19
mr right now	21 savage/metro boomin/drake	28	4	2020-10-09
rich n***a s**t	21 savage/metro boomin/thug	54	1	2020-10-09
ghostface killers	21 savage/offset/metro boomin	60	2	2017-11-10
nee-nah	21 savage/travis scott/metro	23	4	2024-01-19
21st century girls	21st century girls	16	7	1999-06-11
why don't you do it for me	22-20's	41	2	2004-04-16
22 days	22-20s	34	2	2004-09-24
shoot your gun	22-20s	30	3	2004-07-09
such a fool	22-20s	29	2	2005-02-11
don't need love	220 kid & gracey	9	29	2020-03-27
too many nights	220 kid & jc stewart	72	10	2020-10-02
the longest day	24	56	2	2005-02-11
city of angels	24kgoldn	25	13	2020-02-21
mood	24kgoldn ft iann dior	1	39	2020-08-21
rip it up	28 days	92	1	2001-03-09
sucker	28 days	94	1	2001-05-18
i need a rhythm	28th street crew	77	3	1989-08-04
touch the sky	29 palms	51	2	2002-05-24
***k the millennium	2k	28	2	1997-10-24
changes	2pac	66	13	2013-05-03
dear mama	2pac	84	1	1995-08-18
letter 2 my unborn	2pac	21	5	2001-11-09
thugz mansion	2pac	24	7	2003-02-21
runnin'	2pac & notorious b.i.g.	15	3	1998-07-17
ghetto gospel	2pac ft elton john	1	39	2005-07-01
changes	2pac ft talent	100	1	2013-05-10
pac's life	2pac ft ti & ashanti	21	7	2007-01-26
so confused	2play ft raghav & jucxi	6	13	2004-01-23
it can't be right	2play ft raghav & naila boss	8	8	2004-05-21
caless whisper	2play ft thomas jules/jucxi d	29	3	2004-12-03
ease the pssu	2wo third3	46	3	1994-06-10
hear me calling	2wo third3	48	4	1994-02-18
i want the world	2wo third3	20	6	1994-10-07
i want to be alone	2wo third3	29	7	1994-12-16
beautiful day	3 colours red	11	6	1999-01-22
copper girl	3 colours red	30	2	1997-07-11
nuclear holiday	3 colours red	22	2	1997-01-17
peat to fade	3 colours red	97	1	2003-06-20
pu	3 colours red	28	2	1997-05-09
sixty mile smile	3 colours red	20	3	1997-03-14
this is my hollywood	3 colours red	48	2	1997-11-07
this is my time	3 colours red	36	2	1999-05-28
he without you	3 doors down	77	1	2004-06-11
feeling it too	3 jays	17	6	1999-07-30
jack the lad	3 man island	98	1	1988-06-24
baby cakes	3 of a kind	1	15	2004-08-20
mr sandman	3 times dope	79	2	1991-01-25
appciation / price of fame	3 way	88	1	2003-10-03
closer to the edge	30 seconds to mars	44	9	2010-07-09
from yesterday	30 seconds to mars	37	4	2008-02-08
kings and queens	30 seconds to mars	28	19	2009-01-02
the kill	30 seconds to mars	52	4	2007-05-11
the kill (birth)	30 seconds to mars	28	8	2007-10-05
this is war	30 seconds to mars	51	4	2010-04-09
up in the air	30 seconds to mars	45	2	2013-03-29
walk on water	30 seconds to mars	87	1	2017-09-01
one touch	365	60	1	2006-11-24
no mo (baby i'ma do right)	3lw	6	10	2001-06-01
playas gon' play	3lw	21	5	2001-09-07
don't trust me	3oh3	21	15	2009-07-24
starstrukk	3oh3 ft katy perry	3	26	2009-01-02
my first kiss	3oh3 ft kesha	7	11	2010-07-16
brooklyn-queens	3rd bass	61	2	1990-04-06
pop goes the weasel	3rd bass	64	2	1991-06-21
steppin' to the am	3rd bass	95	1	1990-09-07
the gas face	3rd bass	71	3	1990-02-02
in and out	3rd edge	15	6	2002-08-30
know you wanna	3rd edge	17	5	2003-02-07
if ever	3rd storee	53	2	1999-06-04
obsession (si es amor)	3rd wish	15	7	2004-01-02
take it easy	3sl	11	7	2002-04-19
touch me tease me	3sl	16	6	2002-09-06
24 / 7	3t	11	11	1996-05-03
anything	3t	2	17	1996-01-26
i need you	3t	3	12	1996-12-06
gotta be you	3t featuring herbie	10	8	1997-04-04
why	3t featuring michael jackson	2	12	1996-08-23
childn	4 clubbers	45	2	2002-09-13
it's a moment in time	4 for money	77	2	1990-09-28
combat dancin' ep	4 hero	73	2	1990-11-23
cookin' up yah brain	4 hero	59	2	1992-05-08
escape that	4 hero	79	1	1999-02-12
les fleur	4 hero	53	2	2001-11-02
star chasers	4 hero	41	2	1998-08-14
the scorcher / kirk is back	4 hero	86	2	1991-02-01
hold it down	4 hero ft lady alma	78	1	2002-07-26
spaceman	4 non blondes	53	2	1993-10-15
what's up	4 non blondes	2	17	1993-06-18
drag my bad name down	4 of us	79	4	1990-03-30
i miss you	4 of us	62	2	1993-04-30
she hits me	4 of us	35	4	1993-02-26
day time	4 strings	48	3	2000-12-22
diving	4 strings	38	2	2002-09-13
let it rain	4 strings	49	2	2003-09-12
take me away into the night	4 strings	15	12	2002-05-10
turn it around	4 strings	50	2	2004-07-30
stand by me	4 the cause	12	12	1998-01-02
nobody like u	4 town	56	5	2022-03-25
dancing in the dark	4 tune 500	75	1	2003-08-15
fover young	4 vini ft elizabeth troy	75	2	2002-05-17
come on england	4-4-2	2	5	2004-06-18
movin'	400 blows	54	5	1985-06-21
dumb	411	3	10	2004-09-03
teardrops	411	23	5	2004-11-26
on my knees	411 ft ghostface killah	4	14	2004-05-28
the king is he / the 900 number	45 king	60	30	1989-03-10
the king is he / the 900 number	45 king	73	2	1990-08-10
something al	45s	93	1	2001-11-30
waiting for my heart to bak	45s	85	1	2002-03-29
rockin' my body	49-ers feat ann-marie smith	31	2	1995-03-17
don't you love me	49ers	12	6	1990-03-16
girl to girl	49ers	31	3	1990-06-08
got to be fe	49ers	46	2	1992-06-05
the message	49ers	68	1	1992-08-28
touch me	49ers	3	13	1989-12-15
act ii - date at 8	4batz ft drake	18	3	2024-03-15
baby don't go	4mandu	47	2	1996-06-14
do it for love	4mandu	45	2	1996-02-16
this is it	4mandu	45	4	1995-07-28
4 you	4th measure men	77	2	1994-08-12
i'm blue	5 6 7 8's	71	2	2004-09-17
woo hoo	5 6 7 8's	28	5	2004-07-16
up in he	5 after midnight	51	7	2017-06-09
amnesia	5 seconds of summer	7	18	2014-07-11
don't stop	5 seconds of summer	2	14	2014-06-27
easier	5 seconds of summer	27	9	2019-05-31
fly away	5 seconds of summer	44	1	2015-08-21
girls talk boys	5 seconds of summer	28	5	2016-07-22
good girls	5 seconds of summer	19	9	2014-05-23
hey everybody	5 seconds of summer	49	1	2015-10-16
jet black heart	5 seconds of summer	60	1	2015-09-04
lie to me	5 seconds of summer	99	1	2019-02-08
money	5 seconds of summer	88	1	2015-09-25
no shame	5 seconds of summer	68	1	2020-02-14
she looks so perfect	5 seconds of summer	1	27	2014-04-04
she's kinda hot	5 seconds of summer	14	10	2015-07-24
teeth	5 seconds of summer	46	5	2019-08-30
try hard	5 seconds of summer	80	1	2014-06-27
want you back	5 seconds of summer	22	8	2018-03-02
wildflower	5 seconds of summer	81	1	2020-04-03
youngblood	5 seconds of summer	4	40	2018-04-20
21 questions	50 cent	6	11	2003-05-30
candy shop	50 cent	4	32	2005-04-01
disco inferno	50 cent	87	2	2005-02-04
get up	50 cent	24	8	2009-01-09
hustler's ambition	50 cent	13	8	2006-02-10
i get it in	50 cent	75	1	2009-03-06
in da club	50 cent	3	33	2003-03-21
just a lil bit	50 cent	10	12	2005-07-01
p.i.m.p.	50 cent	5	15	2003-10-24
p.i.m.p. (import)	50 cent	74	1	2003-10-17
pilot	50 cent	95	1	2014-04-04
window shopper	50 cent	11	12	2005-12-02
if i can't / them thangs	50 cent & g unit	10	8	2004-03-05
outta control	50 cent ft mobb deep	7	20	2005-09-23
baby by me	50 cent ft ne-yo	17	11	2009-01-02
my life	50 cent/eminem/adam levine	2	9	2013-01-25
ayo technology	50 cent/justin timberlake	8	4	2007-08-24
ayo technology	50 cent/timberlake/timbaland	2	34	2007-09-21
gotta catch 'em all	50 grind ft pokemon allstars	57	2	2001-12-21
dr. kiss kiss	5000 volts	8	9	1976-07-23
i'm on fi	5000 volts	4	9	1975-09-05
just a little while	502s	96	1	2022-01-14
bad boys holler boo	5050	73	2	2002-03-22
who's coming around	5050	54	2	2001-10-12
i can't let you go	52nd street	57	4	1986-03-07
