1977-01-08	1	-	1	when a child is born	johnny mathis	
1977-01-08	2	-	1	under the moon of love	showaddywaddy	
1977-01-08	3	-	1	portsmouth	mike oldfield	
1977-01-08	4	-	1	money, money, money	abba	
1977-01-08	5	-	1	living next door to alice	smokie	
1977-01-08	6	-	1	somebody to love	queen	
1977-01-08	7	-	1	dr. love	tina charles	
1977-01-08	8	-	1	don't give up on us	david soul	
1977-01-08	9	-	1	grandma's party	paul nicholas	
1977-01-08	10	-	1	lean on me	mud	
1977-01-08	11	-	1	bionic santa	chris hill	
1977-01-08	12	-	1	things we do for love	10cc	
1977-01-08	13	-	1	wild side of life	status quo	
1977-01-08	14	-	1	fairy tale	dana	
1977-01-08	15	-	1	livin' thing	electric light orchestra	
1977-01-08	16	-	1	little does she know	kursaal flyers	
1977-01-08	17	-	1	i wish	stevie wonder	
1977-01-08	18	-	1	love me	yvonne elliman	
1977-01-08	19	-	1	you make me feel like dancing	leo sayer	
1977-01-08	20	-	1	sideshow	barry biggs	
1977-01-08	21	-	1	stop me (if you've heard it all before)	billy ocean	
1977-01-08	22	-	1	you're more than a number in my little red book	the drifters	
1977-01-08	23	-	1	get back	rod stewart	
1977-01-08	24	-	1	here's to love	john christie	
1977-01-08	25	-	1	don't cry for me argentina	julie covington	
1977-01-08	26	-	1	haitian divorce	steely dan	
1977-01-08	27	-	1	car wash	rose royce	
1977-01-08	28	-	1	if you leave me now	chicago	
1977-01-08	29	-	1	every man must have a dream	liverpool express	
1977-01-08	30	-	1	you'll never get to heaven ep	the stylistics	
1977-01-15	1	8	2	don't give up on us	david soul	
1977-01-15	2	1	2	when a child is born	johnny mathis	
1977-01-15	3	4	2	money, money, money	abba	
1977-01-15	4	2	2	under the moon of love	showaddywaddy	
1977-01-15	5	20	2	sideshow	barry biggs	
1977-01-15	6	12	2	things we do for love	10cc	
1977-01-15	7	25	2	don't cry for me argentina	julie covington	
1977-01-15	8	7	2	dr. love	tina charles	
1977-01-15	9	3	2	portsmouth	mike oldfield	
1977-01-15	10	5	2	living next door to alice	smokie	
1977-01-15	11	13	2	wild side of life	status quo	
1977-01-15	12	9	2	grandma's party	paul nicholas	
1977-01-15	13	6	2	somebody to love	queen	
1977-01-15	14	17	2	i wish	stevie wonder	
1977-01-15	15	14	2	fairy tale	dana	
1977-01-15	16	16	2	little does she know	kursaal flyers	
1977-01-15	17	10	2	lean on me	mud	
1977-01-15	18	22	2	you're more than a number in my little red book	the drifters	
1977-01-15	19	15	2	livin' thing	electric light orchestra	
1977-01-15	20	11	2	bionic santa	chris hill	
1977-01-15	21	27	2	car wash	rose royce	
1977-01-15	22	18	2	love me	yvonne elliman	
1977-01-15	23	NEW	1	redaddy cool	boney m	
1977-01-15	24	NEW	1	resuspicion	elvis presley	
1977-01-15	25	29	2	every man must have a dream	liverpool express	
1977-01-15	26	24	2	here's to love	john christie	
1977-01-15	27	26	2	haitian divorce	steely dan	
1977-01-15	28	NEW	1	relost without your love	bread	
1977-01-15	29	NEW	1	rewinter melody	donna summer	
1977-01-15	30	28	2	if you leave me now	chicago	
1977-01-15	31	NEW	1	rekeep it comin' love	kc and the sunshine band	
1977-01-15	32	NEW	1	resmile	pussycat	
1977-01-15	33	NEW	1	reflip	jesse green	
1977-01-15	34	23	2	get back	rod stewart	
1977-01-15	35	NEW	1	isn't she lovely	david parton	
1977-01-15	36	NEW	1	resing me an old fashioned song	billie jo spears	
1977-01-15	37	21	2	stop me (if you've heard it all before)	billy ocean	
1977-01-15	38	NEW	1	don't believe a word	thin lizzy	
1977-01-15	39	30	2	you'll never get to heaven ep	the stylistics	
1977-01-15	40	NEW	1	resorry seems to be the hardest word	elton john	
1977-01-15	41	NEW	1	remaggie may	rod stewart	
1977-01-15	42	NEW	1	new kid in town	eagles	
1977-01-15	43	NEW	1	remississippi	pussycat	
1977-01-15	44	NEW	1	rering out solstice bells	jethro tull	
1977-01-15	45	19	2	you make me feel like dancing	leo sayer	
1977-01-15	46	NEW	1	resailing {1976}	rod stewart	
1977-01-15	47	NEW	1	rehang on sloopy	sandpipers	
1977-01-15	48	NEW	1	nobody but you	gladys knight and the pips	
1977-01-15	49	NEW	1	you	randy edelman	
1977-01-15	50	NEW	1	the wreck of the edmund fitzgerald	gordon lightfoot	
1977-01-22	1	1	3	don't give up on us	david soul	
1977-01-22	2	7	3	don't cry for me argentina	julie covington	
1977-01-22	3	5	3	sideshow	barry biggs	
1977-01-22	4	8	3	dr. love	tina charles	
1977-01-22	5	14	3	i wish	stevie wonder	
1977-01-22	6	6	3	things we do for love	10cc	
1977-01-22	7	9	3	portsmouth	mike oldfield	
1977-01-22	8	3	3	money, money, money	abba	
1977-01-22	9	11	3	wild side of life	status quo	
1977-01-22	10	10	3	living next door to alice	smokie	
1977-01-22	11	18	3	you're more than a number in my little red book	the drifters	
1977-01-22	12	4	3	under the moon of love	showaddywaddy	
1977-01-22	13	2	3	when a child is born	johnny mathis	
1977-01-22	14	12	3	grandma's party	paul nicholas	
1977-01-22	15	35	2	isn't she lovely	david parton	
1977-01-22	16	21	3	car wash	rose royce	
1977-01-22	17	27	3	haitian divorce	steely dan	
1977-01-22	18	NEW	1	daddy cool	boney m	
1977-01-22	19	15	3	fairy tale	dana	
1977-01-22	20	NEW	1	suspicion	elvis presley	
1977-01-22	21	38	2	don't believe a word	thin lizzy	
1977-01-22	22	19	3	livin' thing	electric light orchestra	
1977-01-22	23	22	3	love me	yvonne elliman	
1977-01-22	24	25	3	every man must have a dream	liverpool express	
1977-01-22	25	42	2	new kid in town	eagles	
1977-01-22	26	26	3	here's to love	john christie	
1977-01-22	27	NEW	1	winter melody	donna summer	
1977-01-22	28	NEW	1	smile	pussycat	
1977-01-22	29	NEW	1	lost without your love	bread	
1977-01-22	30	NEW	1	flip	jesse green	
1977-01-22	31	17	3	lean on me	mud	
1977-01-22	32	13	3	somebody to love	queen	
1977-01-22	33	NEW	1	keep it comin' love	kc and the sunshine band	
1977-01-22	34	48	2	nobody but you	gladys knight and the pips	
1977-01-22	35	16	3	little does she know	kursaal flyers	
1977-01-22	36	NEW	1	don't leave me this way	harold melvin and the bluenotes	
1977-01-22	37	37	3	stop me (if you've heard it all before)	billy ocean	
1977-01-22	38	NEW	1	sing me an old fashioned song	billie jo spears	
1977-01-22	39	30	3	if you leave me now	chicago	
1977-01-22	40	NEW	1	mississippi	pussycat	
1977-01-22	41	NEW	1	it takes all night long	gary glitter	
1977-01-22	42	39	3	you'll never get to heaven ep	the stylistics	
1977-01-22	43	50	2	the wreck of the edmund fitzgerald	gordon lightfoot	
1977-01-22	44	NEW	1	boogie nights	heatwave	
1977-01-22	45	NEW	1	you + me = love	the undisputed truth	
1977-01-22	46	NEW	1	jack in the box	moments	
1977-01-22	47	NEW	1	shake your rump to the funk	the bar-kays	
1977-01-22	48	NEW	1	put your money where your mouth is	rose royce	
1977-01-22	49	NEW	1	what can i say	boz scaggs	
1977-01-22	50	49	2	you	randy edelman	
1977-01-29	1	1	4	don't give up on us	david soul	
1977-01-29	2	2	4	don't cry for me argentina	julie covington	
1977-01-29	3	3	4	sideshow	barry biggs	
1977-01-29	4	15	3	isn't she lovely	david parton	
1977-01-29	5	11	4	you're more than a number in my little red book	the drifters	
1977-01-29	6	5	4	i wish	stevie wonder	
1977-01-29	7	6	4	things we do for love	10cc	
1977-01-29	8	18	2	daddy cool	boney m	
1977-01-29	9	9	4	wild side of life	status quo	
1977-01-29	10	16	4	car wash	rose royce	
1977-01-29	11	12	4	under the moon of love	showaddywaddy	
1977-01-29	12	4	4	dr. love	tina charles	
1977-01-29	13	20	2	suspicion	elvis presley	
1977-01-29	14	10	4	living next door to alice	smokie	
1977-01-29	15	NEW	1	when i need you	leo sayer	
1977-01-29	16	14	4	grandma's party	paul nicholas	
1977-01-29	17	8	4	money, money, money	abba	
1977-01-29	18	21	3	don't believe a word	thin lizzy	
1977-01-29	19	7	4	portsmouth	mike oldfield	
1977-01-29	20	24	4	every man must have a dream	liverpool express	
1977-01-29	21	13	4	when a child is born	johnny mathis	
1977-01-29	22	19	4	fairy tale	dana	
1977-01-29	23	25	3	new kid in town	eagles	
1977-01-29	24	28	2	smile	pussycat	
1977-01-29	25	36	2	don't leave me this way	harold melvin and the bluenotes	
1977-01-29	26	30	2	flip	jesse green	
1977-01-29	27	29	2	lost without your love	bread	
1977-01-29	28	46	2	jack in the box	moments	
1977-01-29	29	41	2	it takes all night long	gary glitter	
1977-01-29	30	44	2	boogie nights	heatwave	
1977-01-29	31	17	4	haitian divorce	steely dan	
1977-01-29	32	49	2	what can i say	boz scaggs	
1977-01-29	33	22	4	livin' thing	electric light orchestra	
1977-01-29	34	27	2	winter melody	donna summer	
1977-01-29	35	33	2	keep it comin' love	kc and the sunshine band	
1977-01-29	36	26	4	here's to love	john christie	
1977-01-29	37	NEW	1	more than a feeling	boston	
1977-01-29	38	NEW	1	sing me	brothers	
1977-01-29	39	NEW	1	every little teardrop	gallagher and lyle	
1977-01-29	40	43	3	the wreck of the edmund fitzgerald	gordon lightfoot	
1977-01-29	41	47	2	shake your rump to the funk	the bar-kays	
1977-01-29	42	NEW	1	wake up susan	detroit spinners	
1977-01-29	43	45	2	you + me = love	the undisputed truth	
1977-01-29	44	48	2	put your money where your mouth is	rose royce	
1977-01-29	45	NEW	1	year of the cat	al stewart	
1977-01-29	46	23	4	love me	yvonne elliman	
1977-01-29	47	NEW	1	everybody's talkin' 'bout love	silver convention	
1977-01-29	48	38	2	sing me an old fashioned song	billie jo spears	
1977-01-29	49	NEW	1	i wanna go back	the new seekers	
1977-01-29	50	NEW	1	bodyheat	james brown	
1977-02-05	1	1	5	don't give up on us	david soul	
